<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LPB,20180420,10.3212,10.6478,10.2559,10.5825,2245260
LPB,20180423,10.6478,10.6478,9.4720,9.7986,4548382
LPB,20180424,9.7986,9.9946,9.6026,9.8639,3123791
LPB,20180426,9.8639,9.8639,9.3413,9.5373,3118031
LPB,20180427,9.4720,9.8639,9.4720,9.7986,2167574
LPB,20180502,9.7333,9.8639,9.4720,9.5373,1399201
LPB,20180503,9.6026,9.6026,8.9494,9.3413,4514397
LPB,20180504,9.2107,9.5373,9.2107,9.3413,1241770
LPB,20180507,9.3413,9.7333,9.2760,9.6680,1721932
LPB,20180508,9.6680,9.6680,9.3413,9.4720,1790668
LPB,20180509,9.3413,9.4067,9.2107,9.3413,2320836
LPB,20180510,9.3413,9.3413,8.9494,9.0147,2023433
LPB,20180511,9.0147,9.1454,8.8841,9.1454,1450316
LPB,20180514,9.2107,9.2107,8.9494,9.2107,996329
LPB,20180515,9.1454,9.2760,9.0800,9.1454,1036244
LPB,20180516,9.1454,9.2107,9.0147,9.0800,817902
LPB,20180517,9.0800,9.0800,8.9494,8.9494,986877
LPB,20180518,9.0800,9.0800,8.3615,8.6881,4556608
LPB,20180521,8.6881,8.7534,8.2308,8.2962,2935212
LPB,20180522,8.2962,8.3615,7.4469,7.8389,4946905
LPB,20180523,7.8389,7.9695,7.5776,7.9695,2067108
LPB,20180524,7.9695,7.9695,7.7736,7.9042,1423077
LPB,20180525,7.9042,8.1002,7.8389,7.8389,2049048
LPB,20180528,8.0349,8.0349,7.1856,7.3816,3849679
LPB,20180529,7.5123,8.1002,7.3163,7.9695,3623385
LPB,20180530,7.9042,7.9042,7.5776,7.7082,1114196
LPB,20180531,7.7082,8.0349,7.7082,7.9695,1538513
LPB,20180601,7.9695,8.0349,7.8389,7.9695,1602232
LPB,20180604,8.0349,8.2962,7.8389,8.2308,2165462
LPB,20180605,8.2308,8.4268,8.1655,8.3615,2292444
LPB,20180606,8.3615,8.5574,8.1655,8.4921,1847444
LPB,20180607,8.2962,8.4921,8.2962,8.3615,1633522
LPB,20180608,8.2962,8.4268,8.1655,8.2308,3272950
LPB,20180611,8.1655,8.2308,8.1002,8.1655,750178
LPB,20180612,8.0349,8.2962,7.7082,7.9695,2015284
LPB,20180613,7.9695,8.0349,7.9042,8.0349,599062
LPB,20180614,7.9695,8.0349,7.8389,7.9042,645106
LPB,20180615,7.9042,7.9695,7.8389,7.9695,650955
LPB,20180618,7.9695,7.9695,7.5776,7.6429,1147388
LPB,20180619,7.5776,7.6429,7.1856,7.4469,2867306
LPB,20180620,7.3816,7.7082,7.3816,7.6429,936812
LPB,20180621,7.6429,7.6429,7.4469,7.5776,832849
LPB,20180622,7.5123,7.5776,7.3816,7.5776,919910
LPB,20180625,7.5123,7.7082,7.5123,7.5776,767711
LPB,20180626,7.5123,7.5123,7.3816,7.5123,457464
LPB,20180627,7.4469,7.5123,7.3816,7.4469,626898
LPB,20180628,7.3816,7.4469,7.2510,7.3163,827293
LPB,20180629,7.3163,7.3816,7.2510,7.3163,661226
LPB,20180702,7.3816,7.3816,7.0550,7.1856,1122968
LPB,20180703,7.1856,7.2510,6.6631,6.8590,1653021
LPB,20180704,6.8590,6.9243,6.6631,6.7937,928735
LPB,20180705,6.8590,7.7736,6.4018,6.4671,1436211
LPB,20180706,6.4671,6.8590,6.2711,6.8590,1435482
LPB,20180709,6.8590,6.9897,6.5977,6.6631,1021760
LPB,20180710,6.7284,6.9243,6.6631,6.7284,401261
LPB,20180711,6.6631,6.7284,6.4018,6.4671,1390963
LPB,20180712,6.5324,6.7284,6.4671,6.4671,740295
LPB,20180713,6.6631,6.7937,6.5977,6.7284,823027
LPB,20180716,6.7284,7.6429,6.6631,6.8590,1008735
LPB,20180717,6.9243,7.0550,6.6631,6.9897,1575199
LPB,20180718,6.9897,7.1856,6.9243,7.1856,1915583
LPB,20180719,7.1856,7.1856,6.9243,7.0550,1408547
LPB,20180720,7.0550,7.1203,6.8590,7.0550,1223424
LPB,20180723,7.0550,7.0550,6.1405,6.3364,12129030
LPB,20180724,6.5324,6.5324,6.2711,6.4018,896076
LPB,20180725,6.4671,6.7284,6.3364,6.6631,2155523
LPB,20180726,6.5977,6.5977,6.4018,6.5324,1604324
LPB,20180727,6.4671,6.5977,6.4671,6.5324,1027395
LPB,20180730,6.6631,6.6631,6.4671,6.5977,1475360
LPB,20180731,6.5324,6.5977,6.4671,6.4671,1412407
LPB,20180801,6.4671,6.5324,6.2058,6.3364,6372320
LPB,20180802,6.3364,6.3364,5.9445,6.2058,4990820
LPB,20180803,6.1405,6.2711,6.0751,6.1405,1139595
LPB,20180806,6.1405,6.1405,5.9445,6.0751,2398056
LPB,20180807,6.0098,6.2058,5.9445,6.0098,2326270
LPB,20180808,5.9445,6.2711,5.9445,6.2711,3402843
LPB,20180809,6.2058,6.2711,6.1405,6.2058,2389095
LPB,20180810,6.2058,6.2711,6.1405,6.2711,2051029
LPB,20180813,6.2058,6.4018,6.1405,6.3364,2440532
LPB,20180814,6.3364,6.4018,6.2711,6.3364,1928756
LPB,20180815,6.3364,6.3364,6.1405,6.1405,2363468
LPB,20180816,6.1405,6.2058,6.0751,6.1405,1876717
LPB,20180817,6.0751,6.2058,6.0751,6.1405,1133018
LPB,20180820,6.1405,6.2058,6.0751,6.1405,732374
LPB,20180821,6.1405,6.2058,6.0751,6.0751,1018930
LPB,20180822,6.0751,6.2058,6.0751,6.2058,1755772
LPB,20180823,6.2058,6.2058,6.0751,6.2058,932387
LPB,20180824,6.2058,6.2058,6.0751,6.2058,816032
LPB,20180827,6.2711,6.2711,6.0751,6.1405,871580
